Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Residencia: Nivel 1;Residencia: Nivel 2;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2023M04;616.293
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2023M03;603.748
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2023M02;487.297
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2023M01;462.121
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2022M12;498.284
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2022M11;508.819
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2022M10;607.951
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2022M09;596.473
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2022M08;692.499
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2022M07;724.881
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2022M06;659.593
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2022M05;614.237
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2022M04;605.783
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2022M03;516.812
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2022M02;419.550
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2022M01;354.869
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2025M03;725.837
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2025M02;597.700
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2025M01;557.690
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2024M12;560.799
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2024M11;661.564
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2024M10;923.799
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2024M09;924.922
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2024M08;1.055.264
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2024M07;1.036.764
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2024M06;959.865
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2024M05;1.003.686
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2024M04;835.077
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2024M03;736.229
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2024M02;586.451
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2024M01;513.115
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2023M12;547.144
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2023M11;643.526
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2023M10;906.673
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2023M09;925.823
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2023M08;1.030.985
