RESIDENCIA/ORIGEN;Países;Viajeros y pernoctaciones;Periodo;Total
Total;Polonia;Pernoctaciones;2022M12;187.748
Total;Polonia;Pernoctaciones;2022M11;188.236
Total;Polonia;Pernoctaciones;2022M10;398.298
Total;Polonia;Pernoctaciones;2022M09;567.143
Total;Polonia;Pernoctaciones;2022M08;599.393
Total;Polonia;Pernoctaciones;2022M07;678.750
Total;Polonia;Pernoctaciones;2022M06;543.537
Total;Polonia;Pernoctaciones;2022M05;397.558
Total;Polonia;Pernoctaciones;2022M04;254.084
Total;Polonia;Pernoctaciones;2022M03;199.521
Total;Portugal;Viajero;2025M03;129.151
Total;Portugal;Viajero;2025M02;91.856
Total;Portugal;Viajero;2025M01;91.656
Total;Portugal;Viajero;2024M12;127.393
Total;Portugal;Viajero;2024M11;108.718
Total;Portugal;Viajero;2024M10;149.511
Total;Portugal;Viajero;2024M09;236.190
Total;Portugal;Viajero;2024M08;388.253
Total;Portugal;Viajero;2024M07;253.702
Total;Portugal;Viajero;2024M06;230.098
Total;Portugal;Viajero;2024M05;158.565
Total;Portugal;Viajero;2024M04;175.136
Total;Portugal;Viajero;2024M03;122.916
Total;Portugal;Viajero;2024M02;109.612
Total;Portugal;Viajero;2024M01;87.823
Total;Portugal;Viajero;2023M12;137.950
Total;Portugal;Viajero;2023M11;98.114
Total;Portugal;Viajero;2023M10;146.895
Total;Portugal;Viajero;2023M09;227.742
Total;Portugal;Viajero;2023M08;357.426
Total;Portugal;Viajero;2023M07;238.855
Total;Portugal;Viajero;2023M06;198.834
Total;Portugal;Viajero;2023M05;137.771
Total;Portugal;Viajero;2023M04;194.126
Total;Portugal;Viajero;2023M03;99.783
Total;Portugal;Viajero;2023M02;109.844
Total;Portugal;Viajero;2023M01;82.766
Total;Portugal;Viajero;2022M12;111.951
Total;Portugal;Viajero;2022M11;85.628
Total;Portugal;Viajero;2022M10;134.860
Total;Portugal;Viajero;2022M09;205.600
Total;Portugal;Viajero;2022M08;316.463
Total;Portugal;Viajero;2022M07;208.687
Total;Portugal;Viajero;2022M06;199.570
Total;Portugal;Viajero;2022M05;120.365
Total;Portugal;Viajero;2022M04;157.339
Total;Portugal;Viajero;2022M03;79.235
Total;Portugal;Pernoctaciones;2025M03;262.165
Total;Portugal;Pernoctaciones;2025M02;178.380
Total;Portugal;Pernoctaciones;2025M01;187.249
Total;Portugal;Pernoctaciones;2024M12;227.883
Total;Portugal;Pernoctaciones;2024M11;218.616
Total;Portugal;Pernoctaciones;2024M10;351.518
Total;Portugal;Pernoctaciones;2024M09;803.805
Total;Portugal;Pernoctaciones;2024M08;1.352.742
Total;Portugal;Pernoctaciones;2024M07;861.843
Total;Portugal;Pernoctaciones;2024M06;672.854
Total;Portugal;Pernoctaciones;2024M05;359.856
Total;Portugal;Pernoctaciones;2024M04;395.995
Total;Portugal;Pernoctaciones;2024M03;252.192
Total;Portugal;Pernoctaciones;2024M02;225.585
Total;Portugal;Pernoctaciones;2024M01;173.563
Total;Portugal;Pernoctaciones;2023M12;253.428
Total;Portugal;Pernoctaciones;2023M11;193.958
Total;Portugal;Pernoctaciones;2023M10;344.079
Total;Portugal;Pernoctaciones;2023M09;777.119
Total;Portugal;Pernoctaciones;2023M08;1.227.651
Total;Portugal;Pernoctaciones;2023M07;775.471
Total;Portugal;Pernoctaciones;2023M06;570.429
Total;Portugal;Pernoctaciones;2023M05;326.122
Total;Portugal;Pernoctaciones;2023M04;462.595
Total;Portugal;Pernoctaciones;2023M03;208.726
Total;Portugal;Pernoctaciones;2023M02;229.762
Total;Portugal;Pernoctaciones;2023M01;163.786
Total;Portugal;Pernoctaciones;2022M12;213.573
Total;Portugal;Pernoctaciones;2022M11;176.193
Total;Portugal;Pernoctaciones;2022M10;305.894
Total;Portugal;Pernoctaciones;2022M09;677.034
Total;Portugal;Pernoctaciones;2022M08;1.047.020
Total;Portugal;Pernoctaciones;2022M07;621.349
Total;Portugal;Pernoctaciones;2022M06;563.887
Total;Portugal;Pernoctaciones;2022M05;272.413
Total;Portugal;Pernoctaciones;2022M04;357.552
Total;Portugal;Pernoctaciones;2022M03;173.611
Total;República Checa;Viajero;2025M03;23.914
Total;República Checa;Viajero;2025M02;21.061
Total;República Checa;Viajero;2025M01;14.089
Total;República Checa;Viajero;2024M12;13.343
Total;República Checa;Viajero;2024M11;18.882
Total;República Checa;Viajero;2024M10;40.070
Total;República Checa;Viajero;2024M09;52.216
Total;República Checa;Viajero;2024M08;42.949
Total;República Checa;Viajero;2024M07;51.964
Total;República Checa;Viajero;2024M06;50.549
Total;República Checa;Viajero;2024M05;37.658
Total;República Checa;Viajero;2024M04;31.043
Total;República Checa;Viajero;2024M03;24.630
Total;República Checa;Viajero;2024M02;20.461
Total;República Checa;Viajero;2024M01;12.552
Total;República Checa;Viajero;2023M12;13.418
Total;República Checa;Viajero;2023M11;20.033
Total;República Checa;Viajero;2023M10;35.884
Total;República Checa;Viajero;2023M09;48.620
Total;República Checa;Viajero;2023M08;45.589
Total;República Checa;Viajero;2023M07;52.972
Total;República Checa;Viajero;2023M06;43.253
Total;República Checa;Viajero;2023M05;41.073
Total;República Checa;Viajero;2023M04;32.098
Total;República Checa;Viajero;2023M03;20.177
Total;República Checa;Viajero;2023M02;15.854
Total;República Checa;Viajero;2023M01;11.655
Total;República Checa;Viajero;2022M12;11.432
Total;República Checa;Viajero;2022M11;17.261
Total;República Checa;Viajero;2022M10;34.613
Total;República Checa;Viajero;2022M09;45.378
Total;República Checa;Viajero;2022M08;37.296
Total;República Checa;Viajero;2022M07;46.140
Total;República Checa;Viajero;2022M06;35.584
Total;República Checa;Viajero;2022M05;30.983
Total;República Checa;Viajero;2022M04;24.940
Total;República Checa;Viajero;2022M03;18.604
Total;República Checa;Pernoctaciones;2025M03;99.706
Total;República Checa;Pernoctaciones;2025M02;76.674
Total;República Checa;Pernoctaciones;2025M01;49.400
Total;República Checa;Pernoctaciones;2024M12;50.144
Total;República Checa;Pernoctaciones;2024M11;66.894
Total;República Checa;Pernoctaciones;2024M10;170.960
Total;República Checa;Pernoctaciones;2024M09;258.368
Total;República Checa;Pernoctaciones;2024M08;224.651
Total;República Checa;Pernoctaciones;2024M07;296.884
Total;República Checa;Pernoctaciones;2024M06;260.008
Total;República Checa;Pernoctaciones;2024M05;143.343
Total;República Checa;Pernoctaciones;2024M04;103.460
Total;República Checa;Pernoctaciones;2024M03;91.955
Total;República Checa;Pernoctaciones;2024M02;80.508
Total;República Checa;Pernoctaciones;2024M01;45.007
Total;República Checa;Pernoctaciones;2023M12;49.777
Total;República Checa;Pernoctaciones;2023M11;75.003
Total;República Checa;Pernoctaciones;2023M10;148.694
Total;República Checa;Pernoctaciones;2023M09;234.488
Total;República Checa;Pernoctaciones;2023M08;233.771
Total;República Checa;Pernoctaciones;2023M07;285.777
Total;República Checa;Pernoctaciones;2023M06;210.186
Total;República Checa;Pernoctaciones;2023M05;155.442
Total;República Checa;Pernoctaciones;2023M04;115.556
Total;República Checa;Pernoctaciones;2023M03;78.385
Total;República Checa;Pernoctaciones;2023M02;60.120
Total;República Checa;Pernoctaciones;2023M01;41.228
Total;República Checa;Pernoctaciones;2022M12;44.645
Total;República Checa;Pernoctaciones;2022M11;59.534
Total;República Checa;Pernoctaciones;2022M10;173.943
Total;República Checa;Pernoctaciones;2022M09;200.996
Total;República Checa;Pernoctaciones;2022M08;191.819
Total;República Checa;Pernoctaciones;2022M07;246.901
Total;República Checa;Pernoctaciones;2022M06;163.427
Total;República Checa;Pernoctaciones;2022M05;115.116
Total;República Checa;Pernoctaciones;2022M04;88.635
Total;República Checa;Pernoctaciones;2022M03;70.345
Total;Suecia;Viajero;2025M03;65.277
Total;Suecia;Viajero;2025M02;56.546
Total;Suecia;Viajero;2025M01;53.882
Total;Suecia;Viajero;2024M12;55.557
Total;Suecia;Viajero;2024M11;71.165
Total;Suecia;Viajero;2024M10;91.644
Total;Suecia;Viajero;2024M09;71.334
Total;Suecia;Viajero;2024M08;62.786
Total;Suecia;Viajero;2024M07;91.608
Total;Suecia;Viajero;2024M06;75.837
Total;Suecia;Viajero;2024M05;78.389
Total;Suecia;Viajero;2024M04;72.550
Total;Suecia;Viajero;2024M03;73.995
Total;Suecia;Viajero;2024M02;60.098
Total;Suecia;Viajero;2024M01;61.269
Total;Suecia;Viajero;2023M12;55.338
Total;Suecia;Viajero;2023M11;74.144
Total;Suecia;Viajero;2023M10;91.634
Total;Suecia;Viajero;2023M09;77.154
Total;Suecia;Viajero;2023M08;62.714
Total;Suecia;Viajero;2023M07;85.223
Total;Suecia;Viajero;2023M06;71.439
Total;Suecia;Viajero;2023M05;70.640
Total;Suecia;Viajero;2023M04;71.199
Total;Suecia;Viajero;2023M03;71.971
Total;Suecia;Viajero;2023M02;56.607
Total;Suecia;Viajero;2023M01;61.837
Total;Suecia;Viajero;2022M12;56.090
Total;Suecia;Viajero;2022M11;71.640
Total;Suecia;Viajero;2022M10;82.346
Total;Suecia;Viajero;2022M09;76.613
Total;Suecia;Viajero;2022M08;62.114
Total;Suecia;Viajero;2022M07;86.411
Total;Suecia;Viajero;2022M06;71.124
Total;Suecia;Viajero;2022M05;74.242
Total;Suecia;Viajero;2022M04;63.726
Total;Suecia;Viajero;2022M03;52.984
Total;Suecia;Pernoctaciones;2025M03;341.626
Total;Suecia;Pernoctaciones;2025M02;316.830
Total;Suecia;Pernoctaciones;2025M01;297.666
Total;Suecia;Pernoctaciones;2024M12;327.963
Total;Suecia;Pernoctaciones;2024M11;391.841
Total;Suecia;Pernoctaciones;2024M10;414.751
Total;Suecia;Pernoctaciones;2024M09;286.960
Total;Suecia;Pernoctaciones;2024M08;298.821
Total;Suecia;Pernoctaciones;2024M07;395.390
Total;Suecia;Pernoctaciones;2024M06;331.432
Total;Suecia;Pernoctaciones;2024M05;318.792
Total;Suecia;Pernoctaciones;2024M04;326.906
Total;Suecia;Pernoctaciones;2024M03;386.929
Total;Suecia;Pernoctaciones;2024M02;331.212
Total;Suecia;Pernoctaciones;2024M01;348.892
Total;Suecia;Pernoctaciones;2023M12;323.683
Total;Suecia;Pernoctaciones;2023M11;426.545
Total;Suecia;Pernoctaciones;2023M10;378.622
Total;Suecia;Pernoctaciones;2023M09;315.575
Total;Suecia;Pernoctaciones;2023M08;289.605
Total;Suecia;Pernoctaciones;2023M07;366.800
Total;Suecia;Pernoctaciones;2023M06;299.690
Total;Suecia;Pernoctaciones;2023M05;300.940
Total;Suecia;Pernoctaciones;2023M04;323.088
Total;Suecia;Pernoctaciones;2023M03;371.908
Total;Suecia;Pernoctaciones;2023M02;311.636
Total;Suecia;Pernoctaciones;2023M01;356.138
Total;Suecia;Pernoctaciones;2022M12;324.140
Total;Suecia;Pernoctaciones;2022M11;419.091
Total;Suecia;Pernoctaciones;2022M10;331.756
Total;Suecia;Pernoctaciones;2022M09;306.360
Total;Suecia;Pernoctaciones;2022M08;275.004
Total;Suecia;Pernoctaciones;2022M07;363.110
Total;Suecia;Pernoctaciones;2022M06;293.062
Total;Suecia;Pernoctaciones;2022M05;286.849
Total;Suecia;Pernoctaciones;2022M04;289.229
Total;Suecia;Pernoctaciones;2022M03;273.550
Total;Resto de la U.E.;Viajero;2025M03;131.470
Total;Resto de la U.E.;Viajero;2025M02;108.544
Total;Resto de la U.E.;Viajero;2025M01;90.419
Total;Resto de la U.E.;Viajero;2024M12;88.436
Total;Resto de la U.E.;Viajero;2024M11;105.655
Total;Resto de la U.E.;Viajero;2024M10;175.495
Total;Resto de la U.E.;Viajero;2024M09;186.254
Total;Resto de la U.E.;Viajero;2024M08;191.530
Total;Resto de la U.E.;Viajero;2024M07;200.158
Total;Resto de la U.E.;Viajero;2024M06;188.167
Total;Resto de la U.E.;Viajero;2024M05;180.422
Total;Resto de la U.E.;Viajero;2024M04;156.181
Total;Resto de la U.E.;Viajero;2024M03;132.228
Total;Resto de la U.E.;Viajero;2024M02;100.351
Total;Resto de la U.E.;Viajero;2024M01;88.373
Total;Resto de la U.E.;Viajero;2023M12;90.674
Total;Resto de la U.E.;Viajero;2023M11;107.369
Total;Resto de la U.E.;Viajero;2023M10;158.421
Total;Resto de la U.E.;Viajero;2023M09;170.612
Total;Resto de la U.E.;Viajero;2023M08;187.364
Total;Resto de la U.E.;Viajero;2023M07;188.440
Total;Resto de la U.E.;Viajero;2023M06;168.686
Total;Resto de la U.E.;Viajero;2023M05;153.557
Total;Resto de la U.E.;Viajero;2023M04;152.254
Total;Resto de la U.E.;Viajero;2023M03;111.632
Total;Resto de la U.E.;Viajero;2023M02;90.488
Total;Resto de la U.E.;Viajero;2023M01;83.204
Total;Resto de la U.E.;Viajero;2022M12;78.208
Total;Resto de la U.E.;Viajero;2022M11;89.332
Total;Resto de la U.E.;Viajero;2022M10;135.432
Total;Resto de la U.E.;Viajero;2022M09;146.222
Total;Resto de la U.E.;Viajero;2022M08;159.498
Total;Resto de la U.E.;Viajero;2022M07;165.921
Total;Resto de la U.E.;Viajero;2022M06;153.453
Total;Resto de la U.E.;Viajero;2022M05;128.803
Total;Resto de la U.E.;Viajero;2022M04;130.262
Total;Resto de la U.E.;Viajero;2022M03;87.395
Total;Resto de la U.E.;Pernoctaciones;2025M03;380.017
Total;Resto de la U.E.;Pernoctaciones;2025M02;318.857
Total;Resto de la U.E.;Pernoctaciones;2025M01;301.337
Total;Resto de la U.E.;Pernoctaciones;2024M12;267.692
Total;Resto de la U.E.;Pernoctaciones;2024M11;319.089
Total;Resto de la U.E.;Pernoctaciones;2024M10;592.696
Total;Resto de la U.E.;Pernoctaciones;2024M09;735.809
Total;Resto de la U.E.;Pernoctaciones;2024M08;797.521
Total;Resto de la U.E.;Pernoctaciones;2024M07;827.122
Total;Resto de la U.E.;Pernoctaciones;2024M06;701.891
Total;Resto de la U.E.;Pernoctaciones;2024M05;601.428
Total;Resto de la U.E.;Pernoctaciones;2024M04;484.844
Total;Resto de la U.E.;Pernoctaciones;2024M03;411.370
Total;Resto de la U.E.;Pernoctaciones;2024M02;312.767
Total;Resto de la U.E.;Pernoctaciones;2024M01;285.628
Total;Resto de la U.E.;Pernoctaciones;2023M12;283.932
Total;Resto de la U.E.;Pernoctaciones;2023M11;334.242
Total;Resto de la U.E.;Pernoctaciones;2023M10;535.331
Total;Resto de la U.E.;Pernoctaciones;2023M09;654.456
Total;Resto de la U.E.;Pernoctaciones;2023M08;755.455
Total;Resto de la U.E.;Pernoctaciones;2023M07;761.736
Total;Resto de la U.E.;Pernoctaciones;2023M06;621.157
Total;Resto de la U.E.;Pernoctaciones;2023M05;498.610
Total;Resto de la U.E.;Pernoctaciones;2023M04;478.929
Total;Resto de la U.E.;Pernoctaciones;2023M03;338.639
Total;Resto de la U.E.;Pernoctaciones;2023M02;287.692
Total;Resto de la U.E.;Pernoctaciones;2023M01;271.388
Total;Resto de la U.E.;Pernoctaciones;2022M12;245.194
Total;Resto de la U.E.;Pernoctaciones;2022M11;273.385
Total;Resto de la U.E.;Pernoctaciones;2022M10;431.750
Total;Resto de la U.E.;Pernoctaciones;2022M09;527.439
Total;Resto de la U.E.;Pernoctaciones;2022M08;638.444
Total;Resto de la U.E.;Pernoctaciones;2022M07;657.433
Total;Resto de la U.E.;Pernoctaciones;2022M06;533.849
Total;Resto de la U.E.;Pernoctaciones;2022M05;403.854
Total;Resto de la U.E.;Pernoctaciones;2022M04;397.777
Total;Resto de la U.E.;Pernoctaciones;2022M03;275.552
Total;Noruega;Viajero;2025M03;43.775
Total;Noruega;Viajero;2025M02;44.355
Total;Noruega;Viajero;2025M01;35.656
Total;Noruega;Viajero;2024M12;32.112
Total;Noruega;Viajero;2024M11;43.047
Total;Noruega;Viajero;2024M10;67.408
Total;Noruega;Viajero;2024M09;51.380
Total;Noruega;Viajero;2024M08;32.483
Total;Noruega;Viajero;2024M07;71.796
Total;Noruega;Viajero;2024M06;47.802
Total;Noruega;Viajero;2024M05;45.808
Total;Noruega;Viajero;2024M04;44.874
Total;Noruega;Viajero;2024M03;53.490
Total;Noruega;Viajero;2024M02;44.226
Total;Noruega;Viajero;2024M01;39.149
Total;Noruega;Viajero;2023M12;30.854
Total;Noruega;Viajero;2023M11;42.618
Total;Noruega;Viajero;2023M10;62.029
Total;Noruega;Viajero;2023M09;55.502
Total;Noruega;Viajero;2023M08;37.768
Total;Noruega;Viajero;2023M07;72.823
Total;Noruega;Viajero;2023M06;49.107
Total;Noruega;Viajero;2023M05;46.367
Total;Noruega;Viajero;2023M04;49.732
Total;Noruega;Viajero;2023M03;48.443
Total;Noruega;Viajero;2023M02;40.567
Total;Noruega;Viajero;2023M01;35.622
Total;Noruega;Viajero;2022M12;31.771
Total;Noruega;Viajero;2022M11;46.624
Total;Noruega;Viajero;2022M10;67.438
Total;Noruega;Viajero;2022M09;56.915
Total;Noruega;Viajero;2022M08;42.360
Total;Noruega;Viajero;2022M07;88.758
Total;Noruega;Viajero;2022M06;54.021
Total;Noruega;Viajero;2022M05;48.649
Total;Noruega;Viajero;2022M04;44.998
Total;Noruega;Viajero;2022M03;35.781
Total;Noruega;Pernoctaciones;2025M03;281.017
Total;Noruega;Pernoctaciones;2025M02;306.521
Total;Noruega;Pernoctaciones;2025M01;227.969
Total;Noruega;Pernoctaciones;2024M12;197.454
Total;Noruega;Pernoctaciones;2024M11;271.747
Total;Noruega;Pernoctaciones;2024M10;336.338
Total;Noruega;Pernoctaciones;2024M09;219.289
Total;Noruega;Pernoctaciones;2024M08;168.724
Total;Noruega;Pernoctaciones;2024M07;375.173
Total;Noruega;Pernoctaciones;2024M06;217.995
Total;Noruega;Pernoctaciones;2024M05;195.562
Total;Noruega;Pernoctaciones;2024M04;210.264
Total;Noruega;Pernoctaciones;2024M03;321.027
Total;Noruega;Pernoctaciones;2024M02;295.299
Total;Noruega;Pernoctaciones;2024M01;233.547
Total;Noruega;Pernoctaciones;2023M12;193.009
Total;Noruega;Pernoctaciones;2023M11;278.288
Total;Noruega;Pernoctaciones;2023M10;323.588
Total;Noruega;Pernoctaciones;2023M09;219.403
Total;Noruega;Pernoctaciones;2023M08;196.179
Total;Noruega;Pernoctaciones;2023M07;389.425
Total;Noruega;Pernoctaciones;2023M06;237.382
Total;Noruega;Pernoctaciones;2023M05;197.613
Total;Noruega;Pernoctaciones;2023M04;237.343
Total;Noruega;Pernoctaciones;2023M03;296.387
Total;Noruega;Pernoctaciones;2023M02;257.487
Total;Noruega;Pernoctaciones;2023M01;216.925
Total;Noruega;Pernoctaciones;2022M12;205.590
Total;Noruega;Pernoctaciones;2022M11;281.236
Total;Noruega;Pernoctaciones;2022M10;320.957
Total;Noruega;Pernoctaciones;2022M09;228.604
Total;Noruega;Pernoctaciones;2022M08;209.848
Total;Noruega;Pernoctaciones;2022M07;408.179
Total;Noruega;Pernoctaciones;2022M06;236.042
Total;Noruega;Pernoctaciones;2022M05;198.231
Total;Noruega;Pernoctaciones;2022M04;211.008
Total;Noruega;Pernoctaciones;2022M03;214.894
Total;Reino Unido;Viajero;2025M03;685.021
Total;Reino Unido;Viajero;2025M02;540.237
Total;Reino Unido;Viajero;2025M01;448.225
Total;Reino Unido;Viajero;2024M12;451.447
Total;Reino Unido;Viajero;2024M11;548.127
Total;Reino Unido;Viajero;2024M10;1.109.754
Total;Reino Unido;Viajero;2024M09;1.350.947
Total;Reino Unido;Viajero;2024M08;1.314.030
Total;Reino Unido;Viajero;2024M07;1.276.931
Total;Reino Unido;Viajero;2024M06;1.361.291
Total;Reino Unido;Viajero;2024M05;1.325.792
Total;Reino Unido;Viajero;2024M04;851.335
Total;Reino Unido;Viajero;2024M03;689.776
Total;Reino Unido;Viajero;2024M02;519.513
Total;Reino Unido;Viajero;2024M01;428.802
Total;Reino Unido;Viajero;2023M12;448.005
Total;Reino Unido;Viajero;2023M11;520.064
Total;Reino Unido;Viajero;2023M10;1.077.224
Total;Reino Unido;Viajero;2023M09;1.315.229
Total;Reino Unido;Viajero;2023M08;1.285.936
Total;Reino Unido;Viajero;2023M07;1.297.386
Total;Reino Unido;Viajero;2023M06;1.313.714
Total;Reino Unido;Viajero;2023M05;1.214.064
Total;Reino Unido;Viajero;2023M04;786.934
Total;Reino Unido;Viajero;2023M03;592.671
Total;Reino Unido;Viajero;2023M02;450.143
Total;Reino Unido;Viajero;2023M01;358.996
Total;Reino Unido;Viajero;2022M12;416.521
Total;Reino Unido;Viajero;2022M11;448.512
Total;Reino Unido;Viajero;2022M10;957.600
Total;Reino Unido;Viajero;2022M09;1.237.605
Total;Reino Unido;Viajero;2022M08;1.221.354
Total;Reino Unido;Viajero;2022M07;1.246.024
Total;Reino Unido;Viajero;2022M06;1.223.994
Total;Reino Unido;Viajero;2022M05;1.117.705
Total;Reino Unido;Viajero;2022M04;710.060
Total;Reino Unido;Viajero;2022M03;481.097
Total;Reino Unido;Pernoctaciones;2025M03;3.336.834
Total;Reino Unido;Pernoctaciones;2025M02;2.769.732
Total;Reino Unido;Pernoctaciones;2025M01;2.595.491
Total;Reino Unido;Pernoctaciones;2024M12;2.484.228
Total;Reino Unido;Pernoctaciones;2024M11;2.814.948
Total;Reino Unido;Pernoctaciones;2024M10;6.109.605
Total;Reino Unido;Pernoctaciones;2024M09;7.286.957
Total;Reino Unido;Pernoctaciones;2024M08;7.622.795
Total;Reino Unido;Pernoctaciones;2024M07;7.265.921
